text,created_at,retweet_count,is_retweet
White House news conference today at 5:30 P.M. Eastern. Thank you!,04-15-2020 20:49:31,16570,FALSE
We are having very productive calls with the leaders of every sector of the economy who are all-in on getting America back to work and soon. More to come! #MAGA,04-15-2020 19:02:47,34386,FALSE
My condolences to the Steinbrenner family and the entire @Yankees Organization on the passing of Hank Steinbrenner. He was a friend and will be missed greatly by all! https://t.co/nHsO7Wy0oM,04-15-2020 15:48:05,11888,FALSE
#ThanksForDelivering @UPS! https://t.co/4Sis7Tme17,04-15-2020 15:39:58,18613,FALSE
RT @USNavy: Hard at work in #NYC.#USNavy Sailors provide care for trauma emergency and urgent care patients without regard to their #CO…,04-15-2020 15:39:13,8016,TRUE
Our GREAT Senator from South Carolina @SenatorTimScott just released a fantastic new book “OPPORTUNITY KNOCKS: How Hard Work Community and Business Can Improve Lives and End Poverty.” Get your copy today! https://t.co/fmSYMijfgm,04-15-2020 15:37:20,11647,FALSE
RT @GOPLeader: RT to tell Chuck Schumer and Nancy Pelosi to STOP blocking critical funding for small businesses. The Paycheck Protection Pr…,04-15-2020 15:36:00,38639,TRUE
“The Art of an Oil Deal” https://t.co/UyH5pYTmYw,04-15-2020 00:45:11,20461,FALSE
RT @WhiteHouse: President @realDonaldTrump is halting funding of the World Health Organization while a review is conducted to assess WHO's…,04-14-2020 23:25:18,30885,TRUE
https://t.co/KRxBA0OjpX,04-14-2020 23:25:07,16223,FALSE
White House news conference today at 5:45 P.M. Eastern. Thank you!,04-14-2020 21:21:24,16917,FALSE
My Administration is committed to protecting the Homeland from the scourge of narco-terrorists and traffickers seeking to destabilize the United States and our Hemisphere. Our military deployments in the Caribbean &amp; Eastern Pacific will endure until these threats are neutralized! https://t.co/iOKSK1NeNf,04-14-2020 15:49:52,32104,FALSE
Tell the Democrat Governors that “Mutiny On The Bounty” was one of my all time favorite movies. A good old fashioned mutiny every now and then is an exciting and invigorating thing to watch especially when the mutineers need so much from the Captain. Too easy!,04-14-2020 14:57:19,37962,FALSE
GET RID OF BALLOT HARVESTING IT IS RAMPANT WITH FRAUD. THE USA MUST HAVE VOTER I.D. THE ONLY WAY TO GET AN HONEST COUNT!,04-14-2020 14:24:51,68374,FALSE
Cuomo’s been calling daily even hourly begging for everything most of which should have been the state’s responsibility such as new hospitals beds ventilators etc. I got it all done for him and everyone else and now he seems to want Independence! That won’t happen!,04-14-2020 14:07:11,38066,FALSE
The Democrats don’t want to approve more money for our great workers under the incredibly successful “Paycheck” plan. Replenish Account Now!,04-14-2020 13:40:12,31694,FALSE
https://t.co/DRVhpMCuAx,04-14-2020 02:33:12,23454,FALSE
https://t.co/ImJ7W5MACi,04-14-2020 02:27:13,19946,FALSE
https://t.co/NOAE5Q6QxH,04-14-2020 02:08:10,34335,FALSE
RT @TrumpWarRoom: Media keep asking what the Trump Administration was doing in February to combat the coronavirus after restricting travel…,04-14-2020 01:00:56,22046,TRUE
https://t.co/6fEymjTjUM,04-14-2020 00:32:59,55351,FALSE
"RT @WhiteHouse: ""We're very close to completing a plan to open our country."" https://t.co/xnV4XxwnjL",04-14-2020 00:27:08,19124,TRUE
RT @WhiteHouse: Over the weekend the number of daily new infections remained flat.Thanks to the efforts of every American our strategie…,04-14-2020 00:26:57,9982,TRUE
RT @WhiteHouse: President @realDonaldTrump offered his condolences to Americans across the south who just endured deadly tornadoes and seve…,04-14-2020 00:26:40,9485,TRUE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/IoHRJuAFbT,04-13-2020 21:50:14,10008,TRUE
My deepest sympathies go out to Frieda Chera and the family of the late great Stanley Chera one of Manhattan’s most brilliant real estate minds. Stanley was charitable kind and a wonderful friend. He will be truly missed!,04-13-2020 21:14:10,17570,FALSE
First the Fake News Media said that it’s not fair for the President of the United States to be giving news conferences but it is the only way I can reach the American People as seen in the below poll. https://t.co/xP2rqjqtaf,04-13-2020 20:31:30,28458,FALSE
White House news conference today at 5:00 P.M. Eastern. Thank you!,04-13-2020 19:30:35,21400,FALSE
....It is the decision of the President and for many good reasons. With that being said the Administration and I are working closely with the Governors and this will continue. A decision by me in conjunction with the Governors and input from others will be made shortly!,04-13-2020 14:53:52,25375,FALSE
